,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Boat of Garten,29,GB,1563658668,77,57.25,-3.76,60.8,11.41
1,Jamestown,2,AU,1563658547,97,-33.21,138.6,44.98,7.0
2,Santa Ana,41,MX,1563658654,32,30.54,-111.12,100.99,1.01
3,Itarema,80,BR,1563658672,78,-2.92,-39.92,76.66,10.02
4,Castro,90,CL,1563658458,100,-42.48,-73.76,41.0,6.93
5,Yellowknife,75,CA,1563658674,49,62.45,-114.38,69.8,9.17
6,Bluff,20,AU,1563658648,83,-23.58,149.07,54.34,9.57
7,Constitucion,75,MX,1563658664,31,23.99,-104.67,80.01,4.7
8,Rikitea,65,PF,1563658556,47,-23.12,-134.97,67.12,6.85
9,Mataura,82,NZ,1563658454,98,-46.19,168.86,46.99,2.19
10,Punta Arenas,75,CL,1563658590,74,-53.16,-70.91,37.4,12.75
11,Sinnamary,94,GF,1563658681,76,5.38,-52.96,82.24,15.21
12,Upernavik,100,GL,1563658682,93,72.79,-56.15,43.54,12.35
13,Busselton,100,AU,1563658661,63,-33.64,115.35,57.99,27.63
14,Doha,0,QA,1563658392,84,25.29,51.53,89.6,5.82
15,Port Hardy,40,CA,1563658606,87,50.7,-127.42,57.2,5.82
16,Alice Springs,40,AU,1563658686,24,-23.7,133.88,57.2,8.05
17,Avarua,7,CK,1563658363,64,-21.21,-159.78,73.4,11.41
18,Vaini,100,IN,1563658455,91,15.34,74.49,77.56,7.2
19,Qaanaaq,97,GL,1563658690,81,77.48,-69.36,41.92,2.51
20,Pontianak,31,ID,1563658691,79,-0.02,109.34,81.7,9.53
21,Hobart,40,AU,1563658605,62,-42.88,147.33,51.8,12.75
22,New Norfolk,40,AU,1563658618,62,-42.78,147.06,51.8,12.75
23,Kintampo,100,GH,1563658694,92,8.05,-1.73,73.06,7.65
24,Kapaa,90,US,1563658559,66,22.08,-159.32,86.0,12.75
25,Hithadhoo,91,MV,1563658672,78,-0.6,73.08,82.78,13.76
26,Gat,55,SN,1563658698,62,14.69,-16.54,87.8,4.7
27,Monrovia,75,LR,1563658699,94,6.33,-10.8,77.0,9.22
28,Acapulco,75,MX,1563658700,66,16.86,-99.88,87.8,11.41
29,Victoria,75,BN,1563658588,94,5.28,115.24,82.0,8.57
30,Cherskiy,98,RU,1563658702,62,68.75,161.3,44.98,7.11
31,Biltine,100,TD,1563658704,45,14.53,20.93,88.72,17.81
32,Mehamn,0,NO,1563658705,77,71.03,27.85,53.44,2.71
33,Codrington,90,AU,1563658697,93,-28.95,153.24,55.99,6.93
34,Ponta do Sol,61,BR,1563658598,64,-20.63,-46.0,60.28,5.23
35,Namibe,96,AO,1563658708,87,-15.19,12.15,69.46,5.06
36,Bambous Virieux,75,MU,1563658626,88,-20.34,57.76,71.01,3.36
37,Port Elizabeth,1,US,1563658710,53,39.31,-74.98,99.0,9.17
38,Atuona,0,PF,1563658462,78,-9.8,-139.03,79.72,12.15
39,Airai,0,TL,1563658713,63,-8.93,125.41,65.68,3.87
40,Vardo,1,US,1563658714,56,39.62,-77.74,98.6,9.17
41,Salumbar,2,IN,1563658715,53,24.14,74.05,89.8,3.8
42,Barrow,100,AR,1563658650,84,-38.31,-60.23,57.22,12.26
43,Clyde River,90,CA,1563658717,100,70.47,-68.59,39.2,10.29
44,Hilo,40,US,1563658209,58,19.71,-155.08,84.2,12.75
45,Ushuaia,0,AR,1563658454,64,-54.81,-68.31,35.6,11.41
46,Garowe,100,SO,1563658606,48,8.41,48.48,82.06,24.36
47,Mogadishu,41,SO,1563658705,82,2.04,45.34,75.04,12.06
48,Capitan Bado,52,PY,1563658723,63,-23.27,-55.53,75.04,4.7
49,Port Hedland,14,AU,1563658724,58,-20.31,118.58,59.0,8.05
50,Ayagoz,0,KZ,1563658725,74,47.96,80.43,61.72,10.07
51,Cayenne,0,GF,1563658726,78,4.94,-52.33,82.4,4.7
52,Saint Anthony,1,US,1563658728,21,43.97,-111.68,80.6,9.17
53,Husavik,31,CA,1563658729,76,50.56,-96.99,72.0,5.01
54,Kavieng,100,PG,1563658552,75,-2.57,150.8,83.86,17.31
55,Lagoa,0,PT,1563658731,42,37.14,-8.45,86.0,13.87
56,Bella Union,0,CO,1563658732,49,8.5,-73.35,85.48,3.67
57,Cabo San Lucas,40,MX,1563658609,54,22.89,-109.91,87.01,18.34
